founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2010,0,2,401,303,0,217629,95,4282371,2,22,11,4500000,98,49,2250000,0,CA,01.02.2010,web,3,6
2010,0,1,644,553,1,1883758,84,1883758,2,0,0,2238055,91,45,1119027,0,WA,01.01.2010,enterprise,1,6
2006,0,1,730,365,1,13835715,75,13835715,2,0,0,18400000,365,182,9200000,0,MN,01.01.2006,enterprise,1,2
2003,0,1,1876,1876,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,MI,01.01.2003,advertising,1,2
2007,1,3,1096,731,1,1267997,63,1267997,2,723,241,2000000,365,182,1000000,0,NY,01.01.2007,photo_video,3,7
2011,0,3,396,76,1,2125553,50,2125553,4,909,303,4200000,320,80,1050000,1,NY,01.01.2011,software,3,3
2002,0,1,1127,1127,1,13400000,100,13400000,1,0,0,13400000,0,0,13400000,1,CA,01.01.2002,public_relations,2,4
2004,0,3,1553,1065,0,76615,98,6423385,2,1886,628,6500000,488,244,3250000,1,CA,01.01.2004,web,7,4
2008,1,5,1147,15,0,2511051,63,4363949,2,964,192,6875000,1132,566,3437500,1,CA,01.04.2008,web,7,30
2009,1,3,324,153,0,283258,91,2966742,2,649,216,3250000,171,85,1625000,1,WA,01.12.2009,travel,1,3
2000,0,1,2343,1985,0,13692925,61,22307075,2,0,0,36000000,358,179,18000000,1,NC,01.01.2000,software,3,26
2000,0,3,1759,906,0,7098291,88,54401709,2,2321,773,61500000,853,426,30750000,1,CA,01.01.2000,hardware,4,21
2007,1,2,400,190,1,1858972,59,1858972,2,659,329,3150000,210,105,1575000,1,CA,01.08.2007,web,11,12
2008,1,4,1611,276,0,37992222,34,23320832,8,445,111,68500000,1335,166,8562500,1,CA,01.01.2008,cleantech,2,14
2008,1,4,1611,276,0,37992222,34,23320832,8,445,111,68500000,1335,166,8562500,1,CA,01.01.2008,cleantech,2,14
2001,1,1,3741,1450,0,13642621,51,30186267,4,0,0,59000000,2291,572,14750000,1,NJ,01.01.2001,semiconductor,6,8
2004,0,2,1755,1755,1,35000000,100,35000000,1,44,22,35000000,0,0,35000000,0,CA,01.01.2004,web,3,4
2007,1,1,547,253,1,8837433,88,8837433,2,0,0,10000000,294,147,5000000,1,TX,01.01.2007,software,2,9
2009,1,1,516,0,0,318560,90,3031440,2,0,0,3350000,516,258,1675000,0,CA,01.01.2009,messaging,2,1
2004,0,3,2437,851,0,7799891,49,11523147,4,721,240,23100000,1586,396,5775000,1,CA,01.01.2004,social,2,17
2010,0,1,0,0,1,250000,100,250000,1,0,0,250000,0,0,250000,0,OH,01.05.2010,ecommerce,1,2
2006,0,2,1948,396,0,1191095,27,2860343,5,1907,953,10400000,1552,310,2080000,0,CA,01.01.2006,web,1,8
2002,0,3,3743,1378,0,10272206,33,12949116,4,366,122,38764000,2365,591,9691000,1,CA,01.01.2002,enterprise,2,18
2010,0,3,212,212,1,770000,100,770000,1,778,259,770000,0,0,770000,1,CA,01.01.2010,mobile,6,3
2007,1,4,326,326,1,1300000,100,1300000,1,1234,308,1300000,0,0,1300000,1,CA,01.09.2007,web,4,8
2008,1,1,1282,714,1,1688589,70,1688589,2,0,0,2408500,568,284,1204250,0,IL,01.01.2008,social,3,1
2000,0,3,2707,90,1,55977018,96,55977018,5,2557,852,58200000,2617,523,11640000,1,WA,01.02.2000,mobile,1,9
2007,1,1,157,157,1,13000000,100,13000000,1,0,0,13000000,0,0,13000000,0,TX,01.01.2007,software,1,6
2008,1,2,1031,1031,1,20000000,100,20000000,1,1030,515,20000000,0,0,20000000,0,WA,01.01.2008,software,1,1
2001,1,1,2410,2410,1,10360000,100,10360000,1,0,0,10360000,0,0,10360000,0,CA,01.01.2001,other,5,3
2009,1,2,964,964,1,10000000,100,10000000,1,303,151,10000000,0,0,10000000,1,NY,01.01.2009,hardware,6,6
